,count,mean,std,min,25%,50%,75%,max
distance_driver,285,2598486.007,3924460.854,2202.191155,60812.7352,369717.875,4025068.016,21416301.34
speed_mean_driver,285,14.29328959,5.32416957,1.61421315,11.05920593,14.16757787,17.72876255,32.6170952
speed_max_driver,285,36.95189322,6.780052829,13.111622,33.403652,41.330101,41.7,41.7
accel_mean_driver,285,0.005270355,0.019100237,-7.50E-09,0.000602429,0.001373746,0.003142688,0.257862786
headig_mean_driver,285,171.6278686,29.23662195,45.03252033,159.5369868,173.5637181,186.1389503,279.6886544
nearmiss_accel_driver,285,118.477193,182.7522095,0,3,15,172,968
nearmiss_brake_driver,285,30.78245614,78.48729403,0,0,3,24,658
nearmiss_accel_under_50kmh_driver,285,55.85964912,84.57849896,0,1,6,90,398
nearmiss_brake_above_120kmh_driver,285,1.557894737,8.99027149,0,0,0,0,83
ndays_driver,285,40.8877193,53.76718222,1,2,7,70,194
ntrips_driver,285,132.1017544,186.8872528,1,5,17,216,819
ntrips_per_day_media_driver,285,2.702634219,1.141496993,1,2,2.738562092,3.307692308,8
nweekdays_driver,285,31.17894737,40.78507191,0,1,5,55,145
nweekenddays_driver,285,9.70877193,13.74988195,0,0,2,16,56
ntrips_in_weekdays_driver,285,103.2175439,145.0231952,0,3,13,171,645
ntrips_in_weekenddays_driver,285,29.45964912,46.61600651,0,0,5,46,228
ntrips_under_15min_driver,285,63.34736842,95.34589754,0,2,8,100,511
ntrips_between_15min_30min_driver,285,41.01754386,62.88360901,0,1,6,58,369
ntrips_between_30min_1h_driver,285,19.70877193,33.48485195,0,0,3,23,225
ntrips_between_1h_2h_driver,285,5.50877193,10.262613,0,0,1,7,68
ntrips_longer_2h_driver,285,2.519298246,6.416073527,0,0,0,2,59
distance_max_per_day_driver,285,233356.0308,233844.4182,2202.191155,38784.28776,112856.0039,424501.2087,1125130.683
distance_week_media_driver,285,54322.59779,62479.62301,0,19942.94267,40155.47609,66025.78269,571818.2827
distance_weekend_media_driver,285,47438.21858,55849.62961,0,0,35019.3605,70342.06852,386267.3238
distance_per_trip_media_driver,285,20254.51463,16384.72055,2202.191155,10371.82485,16436.24109,24441.731,142954.5707
speedheading_driver,285,0.085016881,0.039593341,0.015487698,0.064222065,0.081652177,0.099168991,0.470520249
week_driver,285,0.961403509,0.192970101,0,1,1,1,1
weekend_driver,285,0.736842105,0.441121961,0,0,1,1,1
distance_during_night_driver,285,648796.2139,1042994.557,0,10269.06674,77628.8182,909464.676,5305998.232
distance_during_day_driver,285,1949689.793,2984506.723,0,45305.75415,322924.6175,2948788.282,17182575.64
distance_under_50kmh_driver,285,451126.6596,672242.6706,12.61843589,14474.44207,57216.17883,712514.8926,3332815.302
distance_above_120kmh_driver,285,561999.0652,1223545.522,0,33.35864791,25672.91142,578578.4157,8876954.441
